STUDENT_ID,DET_Region,METRO/NON-METRO,EDUCATION SECTOR,LOCAL GOVERNMENT AREA,SEX,STUDY STRAND,SES_QUARTILE,SES quartile (student residence),Country_of_birth,LOTE SPOKEN AT HOME,DESTINATION,DESTINATION (including deferrals)
16017,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,Yes,Bachelor degree,Bachelor degree
16018,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16019,North-Eastern Victoria,Metropolitan,Catholic,Yarra Ranges,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16020,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16021,North-Eastern Victoria,Metropolitan,Catholic,Yarra Ranges,F,VCE non-VET,Low - Medium,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
16022,North-Eastern Victoria,Metropolitan,Catholic,Yarra Ranges,F,VCE non-VET,Low - Medium,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
16023,North-Eastern Victoria,Metropolitan,Catholic,Yarra Ranges,F,VCE non-VET,High,Highest,Australia,Yes,Bachelor degree,Bachelor degree
16024,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16025,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16026,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16027,North-Eastern Victoria,Metropolitan,Catholic,Yarra Ranges,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16028,North-Eastern Victoria,Metropolitan,Catholic,Yarra Ranges,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16029,South-Eastern Victoria,Metropolitan,Independent,Frankston,M,VCE non-VET,Low - Medium,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
16030,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16031,North-Western Victoria,Metropolitan,Government,Banyule,F,VCE VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16032,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,Yes,Bachelor degree,Bachelor degree
16033,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16034,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16035,South-Eastern Victoria,Metropolitan,Independent,Frankston,F,VCE non-VET,Medium,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
16036,South-Eastern Victoria,Metropolitan,Independent,Frankston,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16037,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16038,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16039,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,Lowest,Lowest,Australia,Yes,Bachelor degree,Bachelor degree
16040,North-Western Victoria,Metropolitan,Government,Banyule,M,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
16041,South-Western Victoria,Metropolitan,Adult,Melbourne,F,VCE non-VET,High,Highest,Australia,No,Bachelor degree,Bachelor degree
